tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime
Breast,1,-1,0.01630199603130785,0.8066005068709063,0.8672204468763668,322284.3229267597,183.6429209851188,12.646260564018633,288.556786195254,1764.5596182346344
Breast,2,-1,0.015503403077082924,0.819765057930597,0.8682500090601262,322454.4939534664,203.24335250947257,12.646535686613399,290.3733241251522,1594.3885915279388
Breast,3,-1,0.015054946908689151,0.8291391507841424,0.8688070616403001,322549.6099703312,216.1374042460542,12.654801299339159,358.101256466682,1499.2725746631622
Breast,4,-1,0.01494551879302073,0.830095496060279,0.8708845789231621,321958.72488069534,155.0356167287852,12.636154508910732,234.6378587919428,2090.1576642990112
Breast,5,-1,0.014942713002582386,0.8307096946935064,0.870177875598146,322616.8557844162,226.28689034705283,12.648865466469239,306.7245510051902,1432.0267605781555
Breast,6,-1,0.01497180190908043,0.8298808354333063,0.8684271463081872,322457.1476624012,203.58219580956484,12.6444831533805,277.34760993769044,1591.734882593155
Breast,7,-1,0.014902294515688723,0.8318978396019495,0.8692454763570928,322341.6087758541,189.80487394718207,12.643519443115723,271.6265908288618,1707.2737691402435
Breast,8,-1,0.014887684265967364,0.8314454725811764,0.8693690951687496,322032.4214718342,160.70177939867153,12.633986497870742,225.59472973523336,2016.4610731601715
Breast,9,-1,0.014959440182283741,0.8308800114504898,0.870663469726028,322146.8949368,170.3738137666573,12.636181514044601,234.75507552554544,1901.9876081943512
Breast,10,-1,0.014879805853582376,0.8325348244306775,0.8691107852286362,322153.2587645054,170.94577831335675,12.638304388819623,244.35092801152368,1895.623780488968
Breast,20,-1,0.014361558508750948,0.8369118686930921,0.8714207516185658,322115.27932214737,167.58809600444997,12.635456922723744,231.65001087948698,1933.6032228469849
Breast,30,-1,0.014493922702537727,0.8358246158661629,0.8715329661168906,322087.2820570469,165.19616738271992,12.62973370468795,209.738104753606,1961.600487947464
Breast,40,-1,0.014374864844033289,0.8353149731229615,0.8712917307873497,321422.24026989937,123.37000954318225,12.6123056981891,162.83488075224824,2626.642275094986
Breast,50,-1,0.014453967079523478,0.8359333596800546,0.8715222938627377,321964.3797209263,155.45619742197698,12.620557344017083,182.11769251310085,2084.5028240680695
Breast,60,-1,0.01452853279128087,0.8373466103929099,0.870649492153744,321815.5790846348,145.0984554032889,12.624855061264855,194.08839831397432,2233.3034603595734
Breast,70,-1,0.014487383677472503,0.8369824460180673,0.8732477714564827,321455.3335340023,124.94419082562216,12.60113667582444,142.4234147372113,2593.54901099205
